topic,name,full_name,url,stars,description,owner,language,last_updated,license,repo_type
data-engineering,AI-Machine-Learning-and-Data-Engineering-Resources,pavandeore/AI-Machine-Learning-and-Data-Engineering-Resources,https://github.com/pavandeore/AI-Machine-Learning-and-Data-Engineering-Resources,6,"This repository contains a curated list of articles, guides, and tutorials on AI, machine learning, data engineering, and related topics. Ea",pavandeore,,2025-03,,research
apache-spark,spark-py-notebooks,jadianes/spark-py-notebooks,https://github.com/jadianes/spark-py-notebooks,1663,Apache Spark & Python (pySpark) tutorials for Big Data Analysis and Machine Learning as IPython / Jupyter notebooks,jadianes,Jupyter Notebook,2024-03,NOASSERTION,tutorial
apache-spark,LearningApacheSpark,runawayhorse001/LearningApacheSpark,https://github.com/runawayhorse001/LearningApacheSpark,250,LearningApacheSpark,runawayhorse001,Python,2024-01,MIT,tutorial
apache-spark,spark,SeanHorner/spark,https://github.com/SeanHorner/spark,33,"A repository of Apache Spark projects, training projects, and tutorials, in both Scala and Python.",SeanHorner,Scala,2021-09,,tutorial
apache-spark,PySpark-Confluent-Kafka-Apache-Drill-,daddydrac/PySpark-Confluent-Kafka-Apache-Drill-,https://github.com/daddydrac/PySpark-Confluent-Kafka-Apache-Drill-,28,"A code-based  tutorial for production level data streaming with PySpark plus Optimus for data cleaning, Confluent Kafka, & Apache Drill usin",daddydrac,Jupyter Notebook,2019-07,,tutorial
apache-spark,Introd-pyspark,pedropark99/Introd-pyspark,https://github.com/pedropark99/Introd-pyspark,12,An open and introductory book for the Python API of Apache Spark (pyspark) 📚📖,pedropark99,Python,2025-09,CC-BY-4.0,tutorial
apache-spark,spark-tutorials,astrolabsoftware/spark-tutorials,https://github.com/astrolabsoftware/spark-tutorials,10,PySpark notebooks to learn Apache Spark (WIP),astrolabsoftware,Jupyter Notebook,2018-10,Apache-2.0,tutorial
apache-spark,spark-read-jdbc-tutorial,SA01/spark-read-jdbc-tutorial,https://github.com/SA01/spark-read-jdbc-tutorial,7,"This repository contains the code and examples for my article on Medium, which explains how to parallelize reading data from JDBC sources in",SA01,Python,2024-10,,tutorial
big-data,big_data,groda/big_data,https://github.com/groda/big_data,85,"Big Data essentials: Hadoop, MapReduce, Spark. Explore tutorials and demos in Jupyter notebooks—most are self-contained and live, ready to r",groda,Jupyter Notebook,2026-04,MIT,tutorial
big-data,big_data_tutorials,borhan-kazimipour/big_data_tutorials,https://github.com/borhan-kazimipour/big_data_tutorials,5,"Some examples and tutorial to work with some Big Data tools (in Docker) such as Hadoop, HBase, Spark, and Scala.",borhan-kazimipour,Jupyter Notebook,2020-06,,tutorial
time-series,awesome-AI-for-time-series-papers,qingsongedu/awesome-AI-for-time-series-papers,https://github.com/qingsongedu/awesome-AI-for-time-series-papers,1605,"A professional list of Papers, Tutorials, and Surveys on AI for Time Series in top AI conferences and journals.",qingsongedu,,2024-04,MIT,awesome-list
time-series,time-series-forecasting-with-python,jiwidi/time-series-forecasting-with-python,https://github.com/jiwidi/time-series-forecasting-with-python,693,A use-case focused tutorial for time series forecasting with python,jiwidi,Jupyter Notebook,2023-05,,tutorial
time-series,DeepLearningForTimeSeriesForecasting,Azure/DeepLearningForTimeSeriesForecasting,https://github.com/Azure/DeepLearningForTimeSeriesForecasting,684,A tutorial demonstrating how to implement deep learning models for time series forecasting,Azure,Jupyter Notebook,2020-11,MIT,tutorial
time-series,AI-for-Time-Series-Papers-Tutorials-Surveys,DAMO-DI-ML/AI-for-Time-Series-Papers-Tutorials-Surveys,https://github.com/DAMO-DI-ML/AI-for-Time-Series-Papers-Tutorials-Surveys,167,"A professional list of Papers, Tutorials, and Surveys on AI for Time Series in top AI conferences and journals.",DAMO-DI-ML,,2022-06,MIT,research
time-series,BrewPOTS,WenjieDu/BrewPOTS,https://github.com/WenjieDu/BrewPOTS,125,"The tutorials for PyPOTS, guide you to model partially-observed time series datasets.",WenjieDu,Jupyter Notebook,2026-04,BSD-3-Clause,dataset
time-series,pytorch-ts,gautham20/pytorch-ts,https://github.com/gautham20/pytorch-ts,117,Tutorials on using encoder decoder architecture for time series forecasting,gautham20,Jupyter Notebook,2021-09,Apache-2.0,tutorial
time-series,timeseries-tutorial-kdd-2022,qingsongedu/timeseries-tutorial-kdd-2022,https://github.com/qingsongedu/timeseries-tutorial-kdd-2022,103,KDD'22 Tutorial: Robust Time Series Analysis and Applications An Industrial Perspective,qingsongedu,,2024-03,,tutorial
recommendation-systems,recommenders,recommenders-team/recommenders,https://github.com/recommenders-team/recommenders,21689,Best Practices on Recommendation Systems,recommenders-team,Python,2026-05,MIT,tutorial
recommendation-systems,recommender-system-tutorial,xei/recommender-system-tutorial,https://github.com/xei/recommender-system-tutorial,215,A step-by-step tutorial on developing a practical recommendation system (retrieval and ranking) using TensorFlow Recommenders and Keras.,xei,Jupyter Notebook,2025-03,MIT,dataset
recommendation-systems,recommender-tutorial,topspinj/recommender-tutorial,https://github.com/topspinj/recommender-tutorial,206,An introduction to recommendation systems in Python,topspinj,HTML,2020-11,BSD-3-Clause,tutorial
recommendation-systems,awesome-nlp-references,JudePark96/awesome-nlp-references,https://github.com/JudePark96/awesome-nlp-references,33,"A curated list of resources dedicated to Knowledge Distillation, Recommendation System, especially Natural Language Processing (NLP).",JudePark96,,2021-04,,awesome-list
recommendation-systems,lightfm_recommendation,danirisdiandita/lightfm_recommendation,https://github.com/danirisdiandita/lightfm_recommendation,15,tutorial about recommendation system,danirisdiandita,Jupyter Notebook,2019-11,,tutorial
recommendation-systems,Recommender-System-R-Tutorial,BrandonHoeft/Recommender-System-R-Tutorial,https://github.com/BrandonHoeft/Recommender-System-R-Tutorial,12,Building example collaborative filtering recommender systems with RecommenderLab package in R. Example code is borrowed and modified from th,BrandonHoeft,HTML,2017-10,,tutorial
recommendation-systems,recommendation_system,TeddyWang0202/recommendation_system,https://github.com/TeddyWang0202/recommendation_system,12,recommendation system building with online article data and tutorial,TeddyWang0202,Jupyter Notebook,2019-11,,tutorial
anomaly-detection,Awesome-Out-Of-Distribution-Detection,huytransformer/Awesome-Out-Of-Distribution-Detection,https://github.com/huytransformer/Awesome-Out-Of-Distribution-Detection,999,"Out-of-distribution detection, robustness, and generalization resources. The repository contains a curated list of papers, tutorials, books,",huytransformer,,2026-04,CC0-1.0,awesome-list
anomaly-detection,TSB-AD,thedatumorg/TSB-AD,https://github.com/thedatumorg/TSB-AD,265,Time-Series Anomaly Detection | Algorithms + Datasets + Tutorials,thedatumorg,Python,2026-04,Apache-2.0,dataset
anomaly-detection,Anomaly_Detection_Tuto,JulienAu/Anomaly_Detection_Tuto,https://github.com/JulienAu/Anomaly_Detection_Tuto,190,Anomaly detection tutorial on univariate time series with an auto-encoder ,JulienAu,Jupyter Notebook,2021-03,,tutorial
anomaly-detection,machineLearning,bigsnarfdude/machineLearning,https://github.com/bigsnarfdude/machineLearning,79,"POC IDS anomaly detection engine built with iPython notebook, matplotlib, pandas, numpy, scikit-learn, d3.js, hyperloglog implementation, PY",bigsnarfdude,Python,2014-07,,tutorial
anomaly-detection,Notebooks,InfluxCommunity/Notebooks,https://github.com/InfluxCommunity/Notebooks,52,"A collection of Jupyter Notebook tutorials on anomaly detection, forecasting, and InfluxDB.",InfluxCommunity,Jupyter Notebook,2023-03,,tutorial
anomaly-detection,NSVAD,fdjingliu/NSVAD,https://github.com/fdjingliu/NSVAD,33,"This is a repo for the paper ""Networking Systems for Video Anomaly Detection: A Tutorial and Survey"". Paper: https://arxiv.org/abs/2405.1034",fdjingliu,,2025-03,,research
anomaly-detection,TAD,zhuye88/TAD,https://github.com/zhuye88/TAD,21,Tutorial for Anomaly Detection,zhuye88,Jupyter Notebook,2025-10,GPL-3.0,tutorial
ai-in-healthcare,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,Dsajeet/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,https://github.com/Dsajeet/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,7,"mportantly the applications of ML/DL/AI into industry areas such as Transportation, Medicine/Healthcare etc",Dsajeet,Python,2022-11,NOASSERTION,tutorial
ai-in-healthcare,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,eric-erki/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,https://github.com/eric-erki/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,7,A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Lea,eric-erki,Python,2022-12,NOASSERTION,tutorial
ai-in-education,Machine-Learning-AI-Library,rembertdesigns/Machine-Learning-AI-Library,https://github.com/rembertdesigns/Machine-Learning-AI-Library,22,"Curated machine learning and AI roadmap—free, open-access resources spanning foundational math, tutorials, books, frameworks, LLMs, interact",rembertdesigns,,2025-09,MIT,tutorial
ai-in-manufacturing,industryx,lowndesc/industryx,https://github.com/lowndesc/industryx,14,An Avanade/Accenture open collaborative tutorial to distribute knowledge and capability regarding the use of Azure IoT and Azure Digital Twi,lowndesc,C#,2022-04,,tutorial
graph-neural-networks,GNNs-for-NLP,svjan5/GNNs-for-NLP,https://github.com/svjan5/GNNs-for-NLP,790,Tutorial: Graph Neural Networks for Natural Language Processing at EMNLP 2019 and CODS-COMAD 2020,svjan5,Python,2023-03,,tutorial
graph-neural-networks,GNN-Tutorial,sw-gong/GNN-Tutorial,https://github.com/sw-gong/GNN-Tutorial,196,Graph Neural Network Tutorial,sw-gong,Jupyter Notebook,2020-06,,tutorial
graph-neural-networks,DGL-Tutorial,ceo21ckim/DGL-Tutorial,https://github.com/ceo21ckim/DGL-Tutorial,31,This Repository includes DGL tutorials and various information related to graph neural networks.,ceo21ckim,Jupyter Notebook,2023-12,,tutorial
graph-neural-networks,GNNTutorial,dobraczka/GNNTutorial,https://github.com/dobraczka/GNNTutorial,18,"A small tutorial notebook on Graph Neural Networks, especially Graph Convolutional Networks",dobraczka,Jupyter Notebook,2022-11,MIT,tutorial
graph-neural-networks,APBJC2024_GNN_Tutorial,matcyr/APBJC2024_GNN_Tutorial,https://github.com/matcyr/APBJC2024_GNN_Tutorial,11,Tutorial for Graph Neural Network at APBJC 2024.,matcyr,Jupyter Notebook,2025-04,,tutorial
graph-neural-networks,PointCloudGNNTutorial,PabloVD/PointCloudGNNTutorial,https://github.com/PabloVD/PointCloudGNNTutorial,7,Tutorial on how to implement Graph Neural Networks with Pytorch-Geometric to classify 3D point clouds,PabloVD,Jupyter Notebook,2023-11,MIT,tutorial
graph-neural-networks,Graph-Neural-Networks-Tutorial,MicheleCattaneo/Graph-Neural-Networks-Tutorial,https://github.com/MicheleCattaneo/Graph-Neural-Networks-Tutorial,7,GNNs and STGNNs tutorials.,MicheleCattaneo,Jupyter Notebook,2025-11,MIT,tutorial
explainable-ai,ALPS_2021,copenlu/ALPS_2021,https://github.com/copenlu/ALPS_2021,56,XAI Tutorial for the Explainable AI track in the ALPS winter school 2021,copenlu,Jupyter Notebook,2021-02,,tutorial
explainable-ai,XAI-tutorial,a-data-odyssey/XAI-tutorial,https://github.com/a-data-odyssey/XAI-tutorial,40,A course on explainable AI with Python,a-data-odyssey,Jupyter Notebook,2024-03,MIT,tutorial
explainable-ai,xai-workshop,ramonpzg/xai-workshop,https://github.com/ramonpzg/xai-workshop,13,A set of tutorials on Explainable AI.,ramonpzg,Jupyter Notebook,2023-09,,tutorial
explainable-ai,AAAI_CF_Tutorial,ukuhl/AAAI_CF_Tutorial,https://github.com/ukuhl/AAAI_CF_Tutorial,8,"AAAI'25 Tutorial on ""(Really) Using Counterfactuals to Explain AI Systems"": https://sites.google.com/view/cfe-tutorial-aaai-25/startseite",ukuhl,Jupyter Notebook,2025-02,MIT,tutorial
self-supervised-learning,Multi-Modal-Transformer,junchen14/Multi-Modal-Transformer,https://github.com/junchen14/Multi-Modal-Transformer,235,"The repository collects many various multi-modal transformer architectures, including image transformer, video transformer, image-language t",junchen14,,2022-08,,tutorial
self-supervised-learning,mutual_information_and_self-supervised_learning,SeongokRyu/mutual_information_and_self-supervised_learning,https://github.com/SeongokRyu/mutual_information_and_self-supervised_learning,39,"Notes and tutorials on ""Mutual information and self-supervised learning""",SeongokRyu,Python,2019-11,,tutorial
self-supervised-learning,cs231n-exercise-assignment,gxherror/cs231n-exercise-assignment,https://github.com/gxherror/cs231n-exercise-assignment,9,"2022-cs231n-assignment,including new assignment:Self_Supervised_Learning,Transformer_Captioning,Resnet.",gxherror,Jupyter Notebook,2022-03,,tutorial
self-supervised-learning,ssl-recsys.github.io,ssl-recsys/ssl-recsys.github.io,https://github.com/ssl-recsys/ssl-recsys.github.io,5,"Introduction page of the coming tutorial ""Self-Supervised Learning in Recommendation: Fundamentals and Advances"" at The Web Conference (WWW)",ssl-recsys,SCSS,2024-09,CC0-1.0,tutorial
semi-supervised-learning,semi-supervised-learning,urchade/semi-supervised-learning,https://github.com/urchade/semi-supervised-learning,15,"Semi-supervised learning tutorial in pytorch (pseudio label, Pi model, mean teacher, FixMatch, UDA)",urchade,Jupyter Notebook,2021-09,,tutorial
meta-learning,Reinforcement_learning_tutorial_with_demo,omerbsezer/Reinforcement_learning_tutorial_with_demo,https://github.com/omerbsezer/Reinforcement_learning_tutorial_with_demo,797,"Reinforcement Learning Tutorial with Demo: DP (Policy and Value Iteration), Monte Carlo, TD Learning (SARSA, QLearning), Function Approximat",omerbsezer,Jupyter Notebook,2019-01,,research
meta-learning,BayesianNeuralNetwork-Tutorial-Metarepos,french-paragon/BayesianNeuralNetwork-Tutorial-Metarepos,https://github.com/french-paragon/BayesianNeuralNetwork-Tutorial-Metarepos,148,"A meta repository pointing to the other repositories where the implementation of the supplementary examples for our tutorial ""Hands-on Bayes",french-paragon,,2022-04,,tutorial
meta-learning,MetaDrive-Tutorials,wz-ml/MetaDrive-Tutorials,https://github.com/wz-ml/MetaDrive-Tutorials,25,Reinforcement Learning tutorials with Metadrive: A collection of hands-on notebooks and resources to get started with reinforcement learning,wz-ml,Jupyter Notebook,2023-10,MIT,tutorial
meta-learning,ArduinoBareMetal,sebastianomelita/ArduinoBareMetal,https://github.com/sebastianomelita/ArduinoBareMetal,12,Manual for the learning of embedded systems basics,sebastianomelita,C++,2026-05,MIT,tutorial
meta-learning,learning-dl-nlp-notes,lmarti/learning-dl-nlp-notes,https://github.com/lmarti/learning-dl-nlp-notes,6,"An opinionated meta-tutorial on machine learning, deep learning and natural language processing ",lmarti,,2018-03,MIT,tutorial
meta-learning,How-to-Perform-Technical-Systematic-Review-And-Meta-Analysis-Tutorial,ayanglab/How-to-Perform-Technical-Systematic-Review-And-Meta-Analysis-Tutorial,https://github.com/ayanglab/How-to-Perform-Technical-Systematic-Review-And-Meta-Analysis-Tutorial,5,"Here we summarise a tutorial for systematic review and meta analysis for technical development (e.g., using deep learning) for digital healt",ayanglab,R,2022-02,Apache-2.0,tutorial
meta-learning,mongodb,pointofsale/mongodb,https://github.com/pointofsale/mongodb,5,"Mongo db console commands  //showing the existing dbs.. show dbs //use test switching to db test, (only creating it when actually adding new",pointofsale,,2020-07,NOASSERTION,tutorial
causal-inference,causal-inference-tutorial,amit-sharma/causal-inference-tutorial,https://github.com/amit-sharma/causal-inference-tutorial,588,Repository with code and slides for a tutorial on causal inference.,amit-sharma,Jupyter Notebook,2019-09,,tutorial
causal-inference,pgmpy_tutorials,pgmpy/pgmpy_tutorials,https://github.com/pgmpy/pgmpy_tutorials,393,Tutorials on Causal Inference and pgmpy,pgmpy,Jupyter Notebook,2025-08,MIT,tutorial
causal-inference,Deep-Learning-for-Causal-Inference,kochbj/Deep-Learning-for-Causal-Inference,https://github.com/kochbj/Deep-Learning-for-Causal-Inference,353,Extensive tutorials for learning how to build deep learning models for causal inference (HTE) using selection on observables in Tensorflow 2,kochbj,,2024-10,,tutorial
causal-inference,causality-tutorials,vveitch/causality-tutorials,https://github.com/vveitch/causality-tutorials,50,Short tutorials on the use of machine learning methods for causal inference,vveitch,Jupyter Notebook,2022-11,MIT,tutorial
causal-inference,TutorialCausalInferenceEstimators,migariane/TutorialCausalInferenceEstimators,https://github.com/migariane/TutorialCausalInferenceEstimators,39,Introduction to the mosts common estimators and computation in causal inference for epidemiologists: A tutorial,migariane,Jupyter Notebook,2021-01,MIT,tutorial
causal-inference,TutorialComputationalCausalInferenceEstimators,migariane/TutorialComputationalCausalInferenceEstimators,https://github.com/migariane/TutorialComputationalCausalInferenceEstimators,38,Tutorial_Computational_Causal_Inference_Estimators,migariane,Jupyter Notebook,2021-10,MIT,tutorial
causal-inference,scipy_2022_causal_inference_tutorial,ronikobrosly/scipy_2022_causal_inference_tutorial,https://github.com/ronikobrosly/scipy_2022_causal_inference_tutorial,32,A set of decks and notebooks with exercises for use in a hands-on causal inference tutorial session,ronikobrosly,Jupyter Notebook,2022-07,MIT,tutorial
robotics-ai,Embodied-AI-Guide,TianxingChen/Embodied-AI-Guide,https://github.com/TianxingChen/Embodied-AI-Guide,13609,[Lumina具身智能社区] 具身智能技术指南 Embodied-AI-Guide,TianxingChen,,2026-03,NOASSERTION,tutorial
autonomous-systems,learn-hermes-agent,longyunfeigu/learn-hermes-agent,https://github.com/longyunfeigu/learn-hermes-agent,103,"A 27-chapter hands-on tutorial for building an autonomous AI agent from zero in Python. Agent loop, tool system, memory, skills, MCP,     mu",longyunfeigu,Python,2026-04,MIT,tutorial
autonomous-systems,dora-drives,dora-rs/dora-drives,https://github.com/dora-rs/dora-drives,74,A step-by-step tutorial that allows beginners to write their own autonomous vehicle program from scratch using a simple starter kit. Dora-dr,dora-rs,Python,2024-06,Apache-2.0,tutorial
autonomous-systems,autonomous,sinamhd/autonomous,https://github.com/sinamhd/autonomous,6,Tutorials on building intelligent agents and autonomous workflows using LLMs. Learn to design and optimize AI-driven systems for real-world ,sinamhd,Python,2025-03,MIT,tutorial
sensor-fusion,ros-sensor-fusion-tutorial,methylDragon/ros-sensor-fusion-tutorial,https://github.com/methylDragon/ros-sensor-fusion-tutorial,708,An in-depth step-by-step tutorial for implementing sensor fusion with robot_localization! 🛰,methylDragon,,2019-03,MIT,tutorial
sensor-fusion,ros-indoor-gps-fusion,methylDragon/ros-indoor-gps-fusion,https://github.com/methylDragon/ros-indoor-gps-fusion,35,Implementation of sensor fusion with the Marvelmind Indoor GPS ultrasonic beacons! (With custom message adapters and the Linorobot stack!),methylDragon,C++,2018-08,MIT,tutorial
sensor-fusion,IMU-GNSS-Sensor-Fusion,astroteo/IMU-GNSS-Sensor-Fusion,https://github.com/astroteo/IMU-GNSS-Sensor-Fusion,8,Example of sensor-fusion  (loosely coupled) between IMU and GNSS in a Jupyter notebook. KTH tutorial followed ,astroteo,Jupyter Notebook,2021-04,,tutorial
drone-ai,awesome-autonomous-drone-racing,aimarket/awesome-autonomous-drone-racing,https://github.com/aimarket/awesome-autonomous-drone-racing,78,"Curated resources for autonomous drone racing: AI Grand Prix, A2RL, RL tutorials  Resources, tools, and starter code for autonomous drone ra",aimarket,,2026-02,CC0-1.0,awesome-list
reinforcement-robots,train-robot-arm-from-scratch,MorvanZhou/train-robot-arm-from-scratch,https://github.com/MorvanZhou/train-robot-arm-from-scratch,405,Build environment and train a robot arm from scratch (Reinforcement Learning),MorvanZhou,Python,2020-08,,tutorial
reinforcement-robots,tools-for-robotic-rl-icra2022,araffin/tools-for-robotic-rl-icra2022,https://github.com/araffin/tools-for-robotic-rl-icra2022,103,"Tutorial: Tools for Robotic Reinforcement Learning, Hands-on RL for Robotics with EAGER and Stable-Baselines3",araffin,HTML,2025-09,MIT,tutorial
reinforcement-robots,robotis_lab,ROBOTIS-GIT/robotis_lab,https://github.com/ROBOTIS-GIT/robotis_lab,101,"This repository provides tutorials for reinforcement learning and imitation learning using ROBOTIS robots, and supports Sim2Real functionali",ROBOTIS-GIT,Python,2026-04,Apache-2.0,tutorial
reinforcement-robots,DeepReinforcementLearning-QuadrupedRobotTrainingTutorial,rlMWcn/DeepReinforcementLearning-QuadrupedRobotTrainingTutorial,https://github.com/rlMWcn/DeepReinforcementLearning-QuadrupedRobotTrainingTutorial,42,,rlMWcn,MATLAB,2021-01,,tutorial
reinforcement-robots,RL_robotics_tutorial,taewookim0812/RL_robotics_tutorial,https://github.com/taewookim0812/RL_robotics_tutorial,8,This is a project for robotic control with reinforcement learning,taewookim0812,Python,2018-07,,tutorial
sim2real,simtofly-guide,simtofly/simtofly-guide,https://github.com/simtofly/simtofly-guide,7,"Learn drone autonomy from simulation to real flight: ROS2 Humble, ArduPilot SITL, Gazebo Harmonic, MAVROS, Raspberry Pi companion computer. ",simtofly,,2026-01,MIT,tutorial
python,Learn-by-projects,ckissi/Learn-by-projects,https://github.com/ckissi/Learn-by-projects,1452,"Programming tutorials for C, C#, Python, Javascript, Typescript, React, Go, HTML/CSS, Java. PHP and more",ckissi,,2025-10,MIT,tutorial
python,Notebooks,PythonFreeCourse/Notebooks,https://github.com/PythonFreeCourse/Notebooks,1085,Learn Python for free using open-source notebooks in Hebrew.,PythonFreeCourse,Jupyter Notebook,2025-04,NOASSERTION,tutorial
python,06_Python_Object_Class,milaan9/06_Python_Object_Class,https://github.com/milaan9/06_Python_Object_Class,308,Object-oriented programming (OOP) is a method of structuring a program by bundling related properties and behaviors into individual objects.,milaan9,Jupyter Notebook,2022-12,MIT,tutorial
python,pyquest,ivnvxd/pyquest,https://github.com/ivnvxd/pyquest,259,Python everything Cheatsheet and a Journey to the land of Python programming,ivnvxd,Jupyter Notebook,2024-03,CC-BY-SA-4.0,tutorial
python,lexy,antoniorodr/lexy,https://github.com/antoniorodr/lexy,114,"Lexy is a lightweight CLI tool that fetches programming tutorials from ""Learn X in Y Minutes"" directly into your terminal. Quickly search, l",antoniorodr,Python,2026-05,Apache-2.0,tutorial
python,EthicalHackingFromScratch,bookworm52/EthicalHackingFromScratch,https://github.com/bookworm52/EthicalHackingFromScratch,95,Welcome to my comprehensive course on python programming and ethical hacking. The course assumes you have NO prior knowledge in any of these,bookworm52,,2020-12,,tutorial
python,Python-Basic-programs,sanusanth/Python-Basic-programs,https://github.com/sanusanth/Python-Basic-programs,91,"What is Python? Executive Summary Python is an interpreted, object-oriented, high-level programming language with dynamic semantics. Its hig",sanusanth,Python,2023-02,,tutorial
sql,Full-Stack-Data-Science-Machine-Learning-Course-Material,rohanmistry231/Full-Stack-Data-Science-Machine-Learning-Course-Material,https://github.com/rohanmistry231/Full-Stack-Data-Science-Machine-Learning-Course-Material,30,"A comprehensive collection of course materials for learning full-stack data science and machine learning, covering Python, SQL, web developm",rohanmistry231,Jupyter Notebook,2025-05,MIT,dataset
sql,DataScience-DataCamp-Exercises,Ashleshk/DataScience-DataCamp-Exercises,https://github.com/Ashleshk/DataScience-DataCamp-Exercises,13,"Thanks to DataCamp, I have learn data science with their tutorial and coding challenge on R, Python, SQL and more.",Ashleshk,Jupyter Notebook,2024-05,,tutorial
sql,ionic-sqlite-app,SinghDigamber/ionic-sqlite-app,https://github.com/SinghDigamber/ionic-sqlite-app,12,"In this tutorial, we will learn how to create Ionic 4 Angular CRUD application and implement SQLite Native plugin to store the data in the S",SinghDigamber,TypeScript,2023-01,,tutorial
sql,SQLiteExample,devendrachavan/SQLiteExample,https://github.com/devendrachavan/SQLiteExample,9,"Hello Guys,In this 𝐚𝐧𝐝𝐫𝐨𝐢𝐝 𝐬𝐭𝐮𝐝𝐢𝐨 tutorial we will learn to  𝐢𝐧𝐬𝐞𝐫𝐭,𝐮𝐩𝐝𝐚𝐭𝐞,𝐝𝐞𝐥𝐞𝐭𝐞,𝐬𝐞𝐥𝐞𝐜𝐭 data in 𝐒𝐐𝐋𝐢𝐭𝐞 D𝐚𝐭𝐚𝐛𝐚𝐬𝐞.in this example we will sto",devendrachavan,Java,2020-08,,tutorial
sql,datacamp_exercises,magatha/datacamp_exercises,https://github.com/magatha/datacamp_exercises,9,"Thanks to DataCamp, you can learn data science with their tutorial and coding challenge on R, Python, SQL and more. ",magatha,R,2021-04,,tutorial
sql,learn-database-design,imalitavakoli/learn-database-design,https://github.com/imalitavakoli/learn-database-design,8,Let's learn Database Design basics in simple terms!,imalitavakoli,,2016-04,MIT,tutorial
sql,data-science-toolbox,amypeniston/data-science-toolbox,https://github.com/amypeniston/data-science-toolbox,5,"Data science Python notebooks: Machine Learning (Scikit-Learn), Deep learning (Keras, TensorFlow), big data (Spark), data analysis (Pandas, ",amypeniston,Jupyter Notebook,2020-04,,tutorial
r,data-resources,katiejolly/data-resources,https://github.com/katiejolly/data-resources,76,Collection of resources I've found to be helpful for data science and programming,katiejolly,,2022-10,,tutorial
r,ds3_r_intro,favstats/ds3_r_intro,https://github.com/favstats/ds3_r_intro,52,"Materials for the ""Introduction to R Programming"" workshop taught at the Hertie School Data Science Summer School (DS3)",favstats,HTML,2023-08,MIT,tutorial
r,learn-r-with-ai,htlin222/learn-r-with-ai,https://github.com/htlin222/learn-r-with-ai,10,📘 Learn R Programming with AI — interactive tutorial book for data science and statistics,htlin222,R,2026-04,MIT,tutorial
r,r_tutorials,tongakuot/r_tutorials,https://github.com/tongakuot/r_tutorials,6,"R Tutorials is a repository dedicated to sharing data science resources & tutorials using R, specifically focusing on the {tidyverse} ecosys",tongakuot,HTML,2025-03,,tutorial
git,jj-for-everyone.github.io,jj-for-everyone/jj-for-everyone.github.io,https://github.com/jj-for-everyone/jj-for-everyone.github.io,246,A Jujutsu tutorial that requires no previous experience with Git or other version control systems.,jj-for-everyone,CSS,2026-05,MIT,tutorial
git,Git-Version-Control,rohanmistry231/Git-Version-Control,https://github.com/rohanmistry231/Git-Version-Control,33,"A comprehensive resource for learning Git version control, featuring tutorials, practical examples, and workflows for effective code managem",rohanmistry231,,2025-05,MIT,tutorial
git,reproguide-curate,mvuorre/reproguide-curate,https://github.com/mvuorre/reproguide-curate,15,Curating Research Assets in Behavioral Sciences: A tutorial on organizing and curating research materials using RStudio & the Git version co,mvuorre,TeX,2018-11,MIT,research
git,cnn10,questionmark1122/cnn10,https://github.com/questionmark1122/cnn10,15,"#!bash # # bash completion support for core Git. # # Copyright (C) 2006,2007 Shawn O. Pearce <spearce@spearce.org> # Conceptually based on g",questionmark1122,,2021-12,,tutorial
git,git-tutorial,cirosantilli/git-tutorial,https://github.com/cirosantilli/git-tutorial,14,Git version control tutorial.,cirosantilli,JavaScript,2020-08,,tutorial
git,git-tutorial,ml-evs/git-tutorial,https://github.com/ml-evs/git-tutorial,10,"An introduction to git and version control, initially written for the Part II Computational Physics course at the Cavendish Laboratory.",ml-evs,Jupyter Notebook,2025-08,MIT,tutorial
git,Git-Version-Control-Tutorial,FurkanEdizkan/Git-Version-Control-Tutorial,https://github.com/FurkanEdizkan/Git-Version-Control-Tutorial,9,Git Version Control Tutorial,FurkanEdizkan,,2023-04,MIT,tutorial
docker,gitlab-in-docker,BuildWithLal/gitlab-in-docker,https://github.com/BuildWithLal/gitlab-in-docker,52,"This repo provides a detailed, step-by-step guide for setting up a GitLab server and Runner using Docker containers including shell executor",BuildWithLal,Dockerfile,2024-11,,tutorial
docker,Creating-a-Containerized-Web-Application-with-docker-compose,mtliba/Creating-a-Containerized-Web-Application-with-docker-compose,https://github.com/mtliba/Creating-a-Containerized-Web-Application-with-docker-compose,9,Tutorial : Guide to Creating a Containerized Web Application With docker-compose,mtliba,PHP,2020-04,,tutorial
docker,CS612Assignment5,inikhilkedia/CS612Assignment5,https://github.com/inikhilkedia/CS612Assignment5,5,** This assignment will combine a few things that you have learned in this class and will require a little learning on your own. Do your bes,inikhilkedia,JavaScript,2017-04,,tutorial
